pctORB,pctDRB,pctAST,pctSTL,pctBLK,pctTOV,ptsPerGame,pctUSG,ratioPER,pctFTRate,pctFT,fgaPerMinute,FG% by Distance 2P,FG% by Distance (3P),% of FG Ast'd 2P,% of FGA by Distance 3P,Corner 3s %3PA,% of FG Ast'd 3P,Dunks,% of FGA by Distance (0-3),% of FGA by Distance (3-10),% of FGA by Distance (10-16),% of FGA by Distance (16-3P)
0.6,0.099,0.20600000000000002,0.027999999999999997,0.8,0.177,2.5,0.179,7.8,0.316,0.611,10,0.474,0.158,0.222,0.333,0.526,0.667,0,0.368,0.035,0.018,0.246
0.024,0.09699999999999999,0.149,0.024,0.3,0.099,14.2,0.242,19.4,0.256,0.881,16,0.532,0.375,0.449,0.316,0.358,0.9,0,0.337,0.096,0.092,0.158
0.026000000000000002,0.1,0.264,0.012,0.2,0.149,7.8,0.20199999999999999,13.4,0.167,0.753,12.5,0.474,0.357,0.178,0.276,0.149,0.582,0,0.399,0.11,0.074,0.142
0.034,0.16399999999999998,0.064,0.7,0.031,0.11199999999999999,15.4,0.22699999999999998,14.6,0.278,0.831,14.1,0.468,0.409,0.692,0.304,0.01,0.975,0.047,0.214,0.108,0.115,0.26
0.046,0.185,0.142,0.012,0.9,0.15,10.2,0.183,12.6,0.202,0.743,11.7,0.505,0.343,0.565,0.506,0.346,0.923,0.034,0.234,0.129,0.053,0.077
0.024,0.10099999999999999,0.13699999999999998,0.015,0.3,0.21,3.7,0.124,9.2,0.116,0.95,7.2,0.512,0.374,0.714,0.762,0.198,0.959,0.012,0.116,0.041,0.041,0.041
0.095,0.172,0.043,0.9,0.026000000000000002,0.125,8.5,0.2,16.4,0.413,0.867,11.6,0.502,0,0.698,0.012,0,NA,0.157,0.404,0.104,0.211,0.27
0.111,0.154,0.046,0.013999999999999999,0.034,0.172,2.5,0.14,12.3,0.587,0.63,7.6,0.556,0,0.68,0.022,0,NA,0.174,0.609,0.174,0.152,0.043
0.08900000000000001,0.17,0.042,0.011000000000000001,0.015,0.114,4.8,0.156,11.9,0.254,0.659,9.7,0.497,0.222,0.712,0.028,0.333,1,0.096,0.251,0.087,0.229,0.406
0.031,0.129,0.1,0.013000000000000001,0.019,0.113,7.3,0.099,10.7,0.189,0.821,6.3,0.462,0.384,0.556,0.669,0.414,0.989,0.006,0.153,0.093,0.04,0.045
0.07,0.11800000000000001,0.078,0.019,0.022000000000000002,0.115,5.4,0.14,12.9,0.144,0.808,8.9,0.513,0.369,0.657,0.465,0.524,0.968,0.133,0.33,0.053,0.022,0.13
0.015,0.094,0.182,0.013999999999999999,0.2,0.193,4.3,0.209,8.2,0.545,0.806,10.4,0.383,0.259,0.387,0.143,0.481,1,0.074,0.487,0.085,0.069,0.217
0.065,0.198,0.077,0.011000000000000001,0.015,0.102,13.9,0.27699999999999997,17.2,0.252,0.772,17.1,0.478,0.407,0.551,0.085,0.296,0.909,0.04,0.284,0.165,0.135,0.331
0.012,0.075,0.153,0.02,0.1,0.14800000000000002,8.9,0.193,11.8,0.164,0.769,12.9,0.473,0.397,0.432,0.413,0.275,0.865,0.003,0.17,0.076,0.06,0.281
0.02,0.071,0.133,0.015,0.3,0.12,8.4,0.16,9.8,0.153,0.825,10.6,0.458,0.363,0.523,0.458,0.446,0.839,0.004,0.153,0.017,0.061,0.311
0.022000000000000002,0.105,0.10099999999999999,0.011000000000000001,0.3,0.106,11.9,0.163,10.7,0.149,0.853,10.6,0.448,0.421,0.741,0.396,0.292,0.939,0.004,0.076,0.028,0.07,0.43
0.016,0.10300000000000001,0.242,0.019,0.3,0.106,14.9,0.20600000000000002,16.3,0.17,0.789,13.2,0.468,0.39,0.419,0.426,0.157,0.958,0,0.075,0.055,0.038,0.407
0.13,0.27399999999999997,0.1,0.017,0.036000000000000004,0.149,11.9,0.16899999999999998,19.1,0.405,0.551,10.3,0.579,0,0.636,0.002,0,NA,0.133,0.749,0.244,0.004,0.002
0.013999999999999999,0.084,0.289,0.017,0.5,0.13,17.7,0.217,18.8,0.467,0.913,12.6,0.425,0.408,0.157,0.405,0.091,0.537,0.001,0.18,0.069,0.113,0.233
0.016,0.084,0.251,0.017,0.1,0.13699999999999998,11,0.17,14.4,0.116,0.84,10.6,0.429,0.427,0.416,0.507,0.381,0.9,0,0.114,0.06,0.079,0.24
0.085,0.179,0.11800000000000001,0.016,0.035,0.14300000000000002,10,0.21899999999999997,15,0.257,0.704,13.3,0.479,0.238,0.5,0.033,0.143,0.6,0.078,0.421,0.165,0.16,0.221
0.057,0.18100000000000002,0.031,0.3,0.027999999999999997,0.14300000000000002,4,0.222,8.7,0.167,0.615,13.6,0.373,0.407,0.526,0.346,0.296,1,0.038,0.077,0.077,0.103,0.397
0.027999999999999997,0.156,0.077,0.018000000000000002,0.2,0.105,5.6,0.14,9.7,0.176,0.912,9.2,0.425,0.339,0.556,0.673,0.427,0.986,0,0.225,0.034,0.037,0.031
0.11800000000000001,0.27699999999999997,0.107,0.011000000000000001,0.027000000000000003,0.193,11.7,0.17800000000000002,16.2,0.309,0.571,10.2,0.577,NA,0.574,0,NA,NA,0.132,0.599,0.309,0.066,0.025
0.061,0.17600000000000002,0.068,0.013000000000000001,0.01,0.063,8.2,0.146,15,0.043,0.739,10,0.552,0.44,0.682,0.5,0.231,1,0.009,0.131,0.116,0.103,0.151
0.12300000000000001,0.187,0.05,0.012,0.039,0.11,4.2,0.133,13.3,0.397,0.376,7.7,0.528,NA,0.735,0,NA,NA,0.159,0.748,0.098,0.103,0.051
0.10099999999999999,0.126,0,0.9,0.027000000000000003,0.069,2,0.11599999999999999,11.4,0.8,0.75,6.4,0.5,NA,0.6,0,NA,NA,0,0.4,0,0.1,0.5
0.111,0.273,0.114,0.017,0.5,0.121,16.2,0.244,17.2,0.271,0.698,15.4,0.49,NA,0.633,0,NA,NA,0.047,0.441,0.166,0.186,0.207
0.087,0.221,0.11599999999999999,0.012,0.02,0.102,22.7,0.26899999999999996,22.1,0.489,0.817,15.5,0.497,0.245,0.519,0.039,0.041,0.833,0.073,0.314,0.135,0.181,0.331
0.013000000000000001,0.10099999999999999,0.037000000000000005,0.013000000000000001,0.6,0.11199999999999999,2.7,0.07200000000000001,5.4,0.139,0.538,4.5,0.416,0.429,0.784,0.524,0.898,1,0.005,0.144,0.048,0.08,0.203
0.055,0.077,0.065,0.035,0.019,0.111,2.2,0.099,10.8,0.132,0.6,6.2,0.579,NA,0.909,0,NA,NA,0.026,0.579,0.079,0.026,0.316
0.099,0.23199999999999998,0.069,0.01,0.039,0.142,13.8,0.23800000000000002,14.6,0.296,0.676,14.3,0.447,NA,0.607,0,NA,NA,0.044,0.271,0.203,0.367,0.159
0.066,0.12300000000000001,0.129,0.026000000000000002,0.8,0.11699999999999999,6.2,0.163,11.2,0.211,0.737,10.6,0.41,0.417,0.625,0.133,0.583,1,0.044,0.389,0.067,0.067,0.344
0.046,0.091,0.109,0.027000000000000003,0.9,0.10099999999999999,13.7,0.188,16.1,0.425,0.702,11.4,0.537,0.259,0.727,0.103,0.035,1,0.171,0.517,0.037,0.047,0.296
0.02,0.07,0.20199999999999999,0.012,0.3,0.127,11.2,0.22899999999999998,12.9,0.22,0.866,14.1,0.428,0.366,0.202,0.395,0.146,0.664,0.001,0.269,0.135,0.095,0.106
0.213,0.15,0.035,0.013000000000000001,0,0.38799999999999996,1,0.14800000000000002,-1.5,0.286,0.01,6.1,0.143,NA,0,0,NA,NA,0.143,0.714,0.143,0,0.143
0.017,0.048,0.209,0.012,0.2,0.14300000000000002,5.3,0.213,8.9,0.119,0.791,13.9,0.417,0.346,0.24,0.361,0.185,0.667,0.019,0.197,0.075,0.058,0.308
0.031,0.10099999999999999,0.198,0.02,0,0.249,2.4,0.11800000000000001,6.6,0.102,0.6,6.8,0.44,0.292,0.364,0.49,0.125,0.857,0,0.367,0.061,0.02,0.061
0.043,0.122,0.102,0.02,0.5,0.131,5.2,0.228,9.7,0.319,0.78,13,0.384,0.289,0.41,0.31,0.227,0.964,0.013,0.358,0.115,0.086,0.131
0.107,0.24,0.049,0.013000000000000001,0.019,0.183,4.2,0.13,11.5,0.722,0.516,6.1,0.533,NA,0.711,0,NA,NA,0.154,0.68,0.189,0.112,0.018
0.027999999999999997,0.081,0.13699999999999998,0.025,0.012,0.17300000000000001,4.2,0.214,12.9,0.236,0.821,12.5,0.5,0.378,0.547,0.224,0.324,0.929,0.109,0.467,0.048,0.091,0.17
0.035,0.128,0.23800000000000002,0.021,0.01,0.09699999999999999,26.8,0.322,24.4,0.329,0.856,20.8,0.496,0.351,0.326,0.196,0.086,0.644,0.036,0.203,0.12,0.181,0.299
0.044000000000000004,0.139,0.099,0.018000000000000002,0.7,0.183,2.5,0.111,6.3,0.157,0.8,6.5,0.444,0.255,0.604,0.321,0.431,1,0.006,0.352,0.094,0.075,0.157
0.052000000000000005,0.138,0.19699999999999998,0.022000000000000002,0.6,0.14300000000000002,20.8,0.259,18.8,0.371,0.858,15.1,0.487,0.31,0.408,0.194,0.176,0.431,0.027,0.282,0.1,0.116,0.308
0.023,0.102,0.048,0.011000000000000001,0.02,0.065,11.2,0.168,11.8,0.137,0.782,11.1,0.468,0.39,0.678,0.447,0.443,0.929,0.037,0.143,0.064,0.101,0.245
0.10800000000000001,0.201,0.077,0.6,0.048,0.125,14.3,0.207,20,0.428,0.707,12.5,0.56,NA,0.637,0,NA,NA,0.209,0.522,0.343,0.102,0.034
0.027999999999999997,0.084,0.353,0.023,0.2,0.162,7.2,0.27899999999999997,17.4,0.348,0.798,15.3,0.474,0.158,0.222,0.056,0.053,1,0.012,0.404,0.132,0.088,0.322
0.8,0.08900000000000001,0.41,0.017,0.2,0.16699999999999998,12.8,0.16899999999999998,18.8,0.239,0.981,9.9,0.538,0.406,0.185,0.314,0.129,0.878,0.003,0.194,0.009,0.054,0.429
0.094,0.327,0.10800000000000001,0.013999999999999999,0.051,0.139,10.3,0.158,18.7,0.367,0.725,9.3,0.514,0.25,0.676,0.008,0,1,0.075,0.5,0.097,0.121,0.274
