idPlayer,namePlayer,heightInches
200971,Dontell Jefferson,77
2210,Richard Jefferson,79
2407,Jared Jeffries,83
201146,Yi Jianlian,84
101161,Amir Johnson,81
1533,Anthony Johnson,75
2207,Joe Johnson,79
2669,Linton Johnson,80
201234,Trey Johnson,77
2563,Dahntay Jones,78
1800,Damon Jones,75
101204,Dwayne Jones,83
2410,Fred Jones,74
2592,James Jones,80
200780,Solomon Jones,82
201599,DeAndre Jordan,83
2549,Chris Kaman,84
2574,Jason Kapono,80
467,Jason Kidd,76
200814,Tarence Kinsey,78
1905,Andrei Kirilenko,81
101132,Linas Kleiza,80
1510,Brevin Knight,70
2594,Kyle Korver,79
201585,Kosta Koufos,84
2420,Nenad Krstic,84
201633,Rob Kurz,81
201171,Carl Landry,81
201151,Acie Law,75
201584,Courtney Lee,77
101135,David Lee,81
1740,Rashard Lewis,82
2733,Shaun Livingston,79
201572,Brook Lopez,84
201577,Robin Lopez,84
201567,Kevin Love,80
200768,Kyle Lowry,72
1731,Tyronn Lue,72
2058,Mark Madsen,81
1894,Corey Maggette,78
2048,Jamaal Magloire,83
950,Stephon Marbury,74
1890,Shawn Marion,79
1752,Sean Marks,82
923,Donyell Marshall,81
201858,Cartier Martin,79
2030,Kenyon Martin,81
2755,Kevin Martin,79
2046,Desmond Mason,77
2427,Roger Mason Jr.,77
101131,Jason Maxiell,79
101118,Sean May,81
201564,O.J. Mayo,77
201601,Luc Mbah a Moute,80
101119,Rashad McCants,76
686,Antonio McDyess,81
201580,JaVale McGee,84
1503,Tracy McGrady,80
201187,Dominic McGuire,81
201177,Josh McRoberts,82
200822,Pops Mensah-Bonsu,81
2036,Chris Mihm,84
101139,CJ Miles,78
2032,Darius Miles,81
2545,Darko Milicic,84
1889,Andre Miller,75
1802,Brad Miller,84
2034,Mike Miller,80
200794,Paul Millsap,79
2397,Yao Ming,90
1749,Cuttino Mobley,76
1737,Nazr Mohammed,82
200081,Jamario Moon,80
1630,Mikki Moore,84
201043,Randolph Morris,83
200747,Adam Morrison,80
201627,Anthony Morrow,77
2211,Troy Murphy,83
2436,Flip Murray,75
87,Dikembe Mutombo,86
2059,Eduardo Najera,80
959,Steve Nash,75
201634,DeMarcus Nelson,76
2749,Jameer Nelson,72
1725,Rasho Nesterovic,84
201193,Demetris Nichols,80
201149,Joakim Noah,83
200779,Steve Novak,82
1717,Dirk Nowitzki,84
200753,Patrick O'Bryant,84
979,Jermaine O'Neal,83
406,Shaquille O'Neal,85
101177,Fabricio Oberto,82
201141,Greg Oden,84
1885,Lamar Odom,82
2731,Emeka Okafor,82
2246,Mehmet Okur,83
1563,Kevin Ollie,74
2566,Travis Outlaw,81
2585,Zaza Pachulia,83
1515,Anthony Parker,78
2225,Tony Parker,74
101108,Chris Paul,72
2562,Sasha Pavlovic,79
200762,Oleksiy Pecherov,84
2570,Kendrick Perkins,82
2050,Morris Peterson,79
101130,Johan Petro,84
1718,Paul Pierce,79
2554,Mickael Pietrus,78
1899,James Posey,80
200796,Leon Powe,80
2694,Josh Powell,81
101179,Ronnie Price,74
2419,Tayshaun Prince,81
201172,Gabe Pruitt,76
2038,Joel Przybilla,85
200809,Chris Quinn,74
2209,Vladimir Radmanovic,82
101183,Shavlik Randolph,82
2216,Zach Randolph,81
689,Theo Ratliff,82
2072,Michael Redd,78
200755,JJ Redick,75
2202,Jason Richardson,78
200978,Jeremy Richardson,79
2047,Quentin Richardson,78
2557,Luke Ridnour,74
101194,Anthony Roberson,74
101126,Nate Robinson,69
200771,Sergio Rodriguez,75
200765,Rajon Rondo,73
201565,Derrick Rose,74
990,Malik Rose,79
2624,Quinton Ross,78
200750,Brandon Roy,78
