Player,Pos,Age,Tm,G,MP,FG%,Dist.,Year,% of FGA by Distance 2P,% of FGA by Distance (0-3),% of FGA by Distance (3-10),% of FGA by Distance (10-16),% of FGA by Distance (16-3P),% of FGA by Distance 3P,FG% by Distance 2P,FG% by Distance (0-3),FG% by Distance (3-10),FG% by Distance (10-16),FG% by Distance (16-3P),FG% by Distance (3P),% of FG Ast'd 2P,% of FG Ast'd 3P,Dunks,Dunks #,Corner 3s %3PA,Corner 3s 3P%,Heaves Att,Heaves Made
Anthony Lamb\lamban01,SF,23,HOU,24,415,0.39,16.5,2020-2021,0.398,0.246,0.153,0,0,0.602,0.489,0.586,0.333,,,0.324,0.522,1,0.034,4,0.225,0.438,0,0
Jeremy Lamb\lambje01,SG,28,IND,36,765,0.435,16.4,2020-2021,0.536,0.181,0.159,0.149,0.047,0.464,0.459,0.58,0.364,0.488,0.231,0.406,0.529,0.827,0,0,0.094,0.417,1,0
Romeo Langford\langfro01,SG,21,BOS,18,283,0.356,11.7,2020-2021,0.695,0.339,0.186,0.102,0.068,0.305,0.39,0.65,0.273,0,0,0.278,0.375,1,0.051,3,0.444,0.25,0,0
Zach LaVine\lavinza01,SG,25,CHI,58,2034,0.507,14.9,2020-2021,0.575,0.31,0.093,0.061,0.11,0.425,0.571,0.693,0.362,0.478,0.46,0.419,0.355,0.515,0.05,53,0.145,0.478,1,0
Jake Layman\laymaja01,SF,26,MIN,45,627,0.495,12.7,2020-2021,0.576,0.413,0.125,0.016,0.022,0.424,0.642,0.75,0.348,0.333,0.5,0.295,0.765,1,0.136,23,0.346,0.148,1,0
T.J. Leaf\leaftj01,PF,23,POR,7,35,0.5,2.9,2020-2021,1,0.7,0.2,0.1,0,0,0.5,0.571,0.5,0,,,0.6,,0.1,1,,,0,0
Jalen Lecque\lecquja01,PG,20,IND,4,12,0.111,10.1,2020-2021,0.889,0.444,0.111,0.111,0.222,0.111,0.125,0.25,0,0,0,0,0,,0,0,0,,0,0
Damion Lee\leeda03,SG,28,GSW,57,1079,0.467,20.3,2020-2021,0.292,0.08,0-Jan,0-Jan,0.029,0.708,0.638,0-Jan,0-Jan,0.52,0.5,0.397,0.863,0.961,0.007,2,0.309,0.45,0,0
Saben Lee\leesa01,PG,21,DET,48,781,0.471,6.9,2020-2021,0.89,0.386,0.429,0.062,0.014,0.11,0.487,0.617,0.378,0.462,0.333,0.348,0.352,1,0.043,5,0.348,0.625,0,0
Alex Len\lenal01,C,27,TOT,64,979,0.615,5.6,2020-2021,0.91,0.432,0.432,0.047,0,0.09,0.644,0.792,0.55,0.154,,0.32,0.755,1,0.281,75,0.64,0.313,0,0
Alex Len\lenal01,C,27,TOR,7,76,0.5,14.8,2020-2021,0.4,0.3,0.1,0,0,0.6,0.5,0.667,0,,,0.5,1,1,0.2,1,0.667,0.5,0,0
Alex Len\lenal01,C,27,WAS,57,903,0.619,5.3,2020-2021,0.929,0.437,0.444,0.049,0,0.071,0.647,0.795,0.555,0.154,,0.263,0.752,1,0.284,74,0.632,0.25,0,0
