heightInches,pctORB,pctDRB,pctAST,pctTOV,ptsPerMinute,pctUSG,pctFTRate,FG% by Distance 2P,FG% by Distance (3P),% of FGA by Distance 3P,% of FGA by Distance (0-10),% of FGA by Distance (10-3P)
72,0.02799999999999999,0.084,0.353,0.162,18.4,0.27899999999999997,0.348,0.474,0.158,0.056,0.536,0.41000000000000003
75,0.008,0.08900000000000001,0.41,0.16699999999999998,13.5,0.16899999999999998,0.239,0.538,0.406,0.314,0.203,0.483
83,0.094,0.327,0.108,0.139,12,0.158,0.367,0.514,0.25,0.008,0.597,0.395
80,0.048,0.138,0.123,0.207,7.5,0.115,0.207,0.455,0.326,0.544,0.195,0.26
79,0.034,0.091,0.036,0.087,14.4,0.18600000000000003,0.156,0.492,0.35,0.534,0.29700000000000004,0.167
78,0.01399999999999999,0.122,0.07200000000000001,0.153,9.6,0.16399999999999998,0.146,0.441,0.245,0.31,0.187,0.503
73,0.027,0.104,0.299,0.26899999999999996,8.3,0.14300000000000002,0.202,0.49,0.239,0.228,0.35700000000000004,0.415
78,0.03,0.138,0.237,0.098,20.3,0.268,0.305,0.459,0.385,0.291,0.314,0.39499999999999996
74,0.017,0.08800000000000001,0.235,0.181,11.2,0.163,0.292,0.467,0.367,0.47,0.355,0.175
84,0.13699999999999998,0.192,0.024,0.17,9.9,0.13699999999999998,0.47,0.565,0,0,0.9750000000000001,0.025
80,0.035,0.147,0.099,0.108,15.6,0.205,0.204,0.476,0.328,0.298,0.379,0.322
84,0.075,0.121,0.037,0.127,4.9,0.101,0.4,0.314,0,0,0.529,0.471
78,0.039,0.101,0.198,0.17800000000000002,10.2,0.166,0.186,0.426,0.419,0.126,0.7050000000000001,0.17
82,0.112,0.197,0.05799999999999999,0.13,11.5,0.135,0.318,0.57,0,0.005,0.762,0.23399999999999999
73,0.012,0.125,0.237,0.149,12.8,0.179,0.27,0.458,0.406,0.297,0.41500000000000004,0.288
77,0.012,0.112,0.062,0.059,13.5,0.182,0.087,0.356,0.387,0.612,0.093,0.294
77,0.01,0.075,0.181,0.112,18.6,0.228,0.337,0.441,0.36,0.386,0.225,0.38999999999999996
77,0.05599999999999999,0.112,0.198,0.201,9.7,0.158,0.323,0.478,0.133,0.053,0.7150000000000001,0.231
83,0.125,0.289,0.01399999999999999,0.193,9.2,0.136,0.286,0.5,0,0.005,0.6890000000000001,0.307
83,0.136,0.21600000000000005,0.061,0.17800000000000002,8.9,0.104,0.504,0.65,0,0,0.96,0.039
76,0.006,0.085,0.26899999999999996,0.181,10.6,0.159,0.424,0.438,0.367,0.254,0.373,0.373
78,0.051,0.11,0.107,0.112,15.5,0.215,0.187,0.489,0.2,0.131,0.569,0.3
75,0.023,0.102,0.381,0.155,15.5,0.252,0.219,0.406,0.302,0.342,0.373,0.284
81,0.094,0.128,0.065,0.118,11.7,0.171,0.396,0.443,0.4,0.011,0.475,0.513
79,0.013,0.077,0.16399999999999998,0.13,10.6,0.174,0.147,0.358,0.315,0.453,0.123,0.424
81,0.055,0.147,0.09,0.096,14.9,0.2,0.323,0.45,0.4,0.034,0.42300000000000004,0.543
80,0.053,0.138,0.212,0.185,14,0.197,0.166,0.531,0.414,0.205,0.582,0.213
79,0.036,0.079,0.047,0.066,9,0.133,0.088,0.463,0.313,0.751,0.124,0.124
73,0.009000000000000001,0.124,0.239,0.102,10.3,0.125,0.084,0.459,0.39,0.659,0.1,0.24
84,0.133,0.182,0.046,0.163,5.9,0.108,0.386,0.433,0,0,0.842,0.158
75,0.011,0.087,0.227,0.204,11.5,0.191,0.152,0.42,0.333,0.293,0.28200000000000003,0.42600000000000005
75,0.01399999999999999,0.076,0.213,0.136,13,0.174,0.258,0.446,0.421,0.393,0.294,0.313
79,0.02799999999999999,0.07400000000000001,0.14800000000000002,0.132,13.3,0.187,0.352,0.476,0.25,0.068,0.625,0.307
75,0.055,0.108,0.208,0.224,12.2,0.197,0.29,0.4,0.37,0.241,0.366,0.393
78,0.087,0.123,0.071,0.115,11.6,0.146,0.368,0.507,0.392,0.26,0.389,0.35100000000000003
73,0.016,0.078,0.27899999999999997,0.222,10.9,0.149,0.307,0.449,0.391,0.477,0.402,0.12
83,0.096,0.27899999999999997,0.193,0.111,20.7,0.285,0.436,0.505,0,0.002,0.646,0.352
82,0.03,0.16399999999999998,0.135,0.122,23.3,0.28300000000000003,0.377,0.486,0.422,0.165,0.358,0.477
84,0.116,0.163,0.048,0.205,7.4,0.108,0.231,0.497,0.25,0.024,0.556,0.42000000000000004
82,0.097,0.11,0.076,0.172,9.4,0.173,0.379,0.389,0,0,0.706,0.295
77,0.05599999999999999,0.099,0.046,0.077,11.2,0.142,0.151,0.47,0.395,0.515,0.315,0.17
80,0.141,0.24,0.033,0.213,8.3,0.13,0.983,0.446,0,0.006,0.983,0.011
74,0.021,0.08900000000000001,0.18600000000000003,0.163,12.6,0.196,0.187,0.421,0.336,0.354,0.398,0.248
73,0.022,0.102,0.311,0.159,13.6,0.21899999999999997,0.251,0.437,0.285,0.191,0.40399999999999997,0.404
78,0.02899999999999999,0.101,0.127,0.11,14.7,0.184,0.227,0.47,0.399,0.632,0.203,0.165
79,0.013,0.123,0.077,0.078,12.1,0.161,0.09,0.459,0.411,0.463,0.14400000000000002,0.394
73,0.012,0.07400000000000001,0.149,0.08800000000000001,12,0.147,0.189,0.446,0.397,0.439,0.21300000000000002,0.34900000000000003
72,0.02899999999999999,0.098,0.276,0.14800000000000002,17.6,0.235,0.308,0.467,0.337,0.114,0.477,0.40900000000000003
83,0.128,0.17800000000000002,0.099,0.174,8.9,0.12,0.414,0.506,0.286,0.02,0.725,0.255
76,0.015,0.08800000000000001,0.205,0.12,16.4,0.226,0.277,0.428,0.36,0.314,0.399,0.286
84,0.067,0.16699999999999998,0.053,0.093,12.7,0.197,0.135,0.436,0.333,0.124,0.243,0.633
83,0.114,0.21,0.065,0.13,10.4,0.15,0.279,0.483,0,0.008,0.603,0.389
79,0.033,0.096,0.126,0.131,15,0.194,0.268,0.466,0.398,0.332,0.307,0.36100000000000004
83,0.05599999999999999,0.267,0.147,0.101,18.3,0.234,0.178,0.534,0.25,0.011,0.428,0.5609999999999999
83,0.096,0.2,0.097,0.166,13.9,0.183,0.567,0.53,0,0.002,0.8069999999999999,0.192
84,0.1,0.193,0.14800000000000002,0.113,18.3,0.204,0.42,0.567,0.5,0.002,0.721,0.27699999999999997
80,0.045,0.139,0.087,0.126,18.3,0.256,0.273,0.477,0.351,0.192,0.42899999999999994,0.379
80,0.04099999999999999,0.085,0.03,0.101,7.5,0.109,0.155,0.485,0.289,0.535,0.29600000000000004,0.169
74,0.021,0.079,0.113,0.097,11.8,0.165,0.163,0.402,0.382,0.537,0.167,0.296
78,0.025,0.173,0.231,0.133,20.8,0.272,0.387,0.546,0.33,0.426,0.35200000000000004,0.222
79,0.046,0.133,0.087,0.108,15,0.204,0.186,0.456,0.372,0.293,0.292,0.41500000000000004
82,0.104,0.226,0.063,0.117,17.2,0.235,0.308,0.472,0,0.008,0.455,0.538
75,0.02,0.08800000000000001,0.159,0.119,20.4,0.25,0.29,0.476,0.41,0.321,0.262,0.418
75,0.019,0.069,0.136,0.135,16.8,0.207,0.388,0.496,0.389,0.374,0.391,0.235
